time_index,area,num_people,area_m2,density,congestion
21,B,2,736.6620803946497,0.0027149490291784,0.0054298980583568
21,IM2,1,464.7433054559947,0.0021517254541597,0.0043034509083194
21,J,5,562.7925975599836,0.0088842675288867,0.0177685350577734
21,C,3,637.5788765988797,0.0047053001755693,0.0094106003511386
21,IM1,1,414.08163255867794,0.0024149827506736,0.0048299655013472
21,L,4,660.6695710486767,0.0060544637974635,0.012108927594927
21,N,1,500.4132588224709,0.0019983483298446,0.0039966966596892
21,M,1,672.0425996582782,0.0014880009102227,0.0029760018204454
21,A,0,595.5331344664123,0.0,0.0
22,Outside,122,,,
22,K,11,620.3470150691795,0.0177320108468214,0.0354640216936428
22,G,8,440.4463806991165,0.0181633913923907,0.0363267827847814
22,D,10,616.3836869173489,0.0162236610284283,0.0324473220568566
22,F,11,438.7231945461476,0.025072756892599,0.050145513785198
22,E,23,583.1261941650279,0.0394425773188485,0.078885154637697
22,H,15,628.9629458340296,0.0238487817117897,0.0476975634235794
22,GH,9,844.1888963399747,0.0106611210346641,0.0213222420693282
22,B,5,736.6620803946497,0.006787372572946,0.013574745145892
22,IM2,0,464.7433054559947,0.0,0.0
22,J,4,562.7925975599836,0.0071074140231094,0.0142148280462188
22,C,0,637.5788765988797,0.0,0.0
22,IM1,0,414.08163255867794,0.0,0.0
22,L,4,660.6695710486767,0.0060544637974635,0.012108927594927
22,N,0,500.4132588224709,0.0,0.0
22,M,1,672.0425996582782,0.0014880009102227,0.0029760018204454
22,A,0,595.5331344664123,0.0,0.0
23,Outside,134,,,
23,K,9,620.3470150691795,0.014508008874672,0.029016017749344
23,G,6,440.4463806991165,0.013622543544293,0.027245087088586
23,D,15,616.3836869173489,0.0243354915426425,0.048670983085285
23,F,2,438.7231945461476,0.0045586830713816,0.0091173661427632
23,E,14,583.1261941650279,0.0240085253245165,0.048017050649033
23,H,21,628.9629458340296,0.0333882943965056,0.0667765887930112
23,GH,5,844.1888963399747,0.0059228450192578,0.0118456900385156
23,B,4,736.6620803946497,0.0054298980583568,0.0108597961167136
23,IM2,0,464.7433054559947,0.0,0.0
23,J,2,562.7925975599836,0.0035537070115547,0.0071074140231094
23,C,3,637.5788765988797,0.0047053001755693,0.0094106003511386
23,IM1,2,414.08163255867794,0.0048299655013473,0.0096599310026946
23,L,4,660.6695710486767,0.0060544637974635,0.012108927594927
23,N,1,500.4132588224709,0.0019983483298446,0.0039966966596892
23,M,1,672.0425996582782,0.0014880009102227,0.0029760018204454
23,A,0,595.5331344664123,0.0,0.0
24,Outside,123,,,
24,K,10,620.3470150691795,0.0161200098607467,0.0322400197214934
24,G,6,440.4463806991165,0.013622543544293,0.027245087088586
24,D,12,616.3836869173489,0.019468393234114,0.038936786468228
24,F,5,438.7231945461476,0.0113967076784541,0.0227934153569082
24,E,20,583.1261941650279,0.0342978933207378,0.0685957866414756
24,H,22,628.9629458340296,0.0349782131772916,0.0699564263545832
24,GH,7,844.1888963399747,0.0082919830269609,0.0165839660539218
24,B,3,736.6620803946497,0.0040724235437676,0.0081448470875352
24,IM2,0,464.7433054559947,0.0,0.0
24,J,4,562.7925975599836,0.0071074140231094,0.0142148280462188
24,C,2,637.5788765988797,0.0031368667837128,0.0062737335674256
24,IM1,1,414.08163255867794,0.0024149827506736,0.0048299655013472
24,L,1,660.6695710486767,0.0015136159493658,0.0030272318987316
24,N,1,500.4132588224709,0.0019983483298446,0.0039966966596892
24,M,0,672.0425996582782,0.0,0.0
24,A,0,595.5331344664123,0.0,0.0
25,Outside,128,,,
25,K,9,620.3470150691795,0.014508008874672,0.029016017749344
25,G,8,440.4463806991165,0.0181633913923907,0.0363267827847814
25,D,11,616.3836869173489,0.0178460271312712,0.0356920542625424
25,F,12,438.7231945461476,0.0273520984282898,0.0547041968565796
25,E,17,583.1261941650279,0.0291532093226271,0.0583064186452542
25,H,15,628.9629458340296,0.0238487817117897,0.0476975634235794
25,GH,9,844.1888963399747,0.0106611210346641,0.0213222420693282
25,B,2,736.6620803946497,0.0027149490291784,0.0054298980583568
25,IM2,0,464.7433054559947,0.0,0.0
25,J,6,562.7925975599836,0.0106611210346641,0.0213222420693282
25,C,2,637.5788765988797,0.0031368667837128,0.0062737335674256
25,IM1,1,414.08163255867794,0.0024149827506736,0.0048299655013472
25,L,4,660.6695710486767,0.0060544637974635,0.012108927594927
25,N,1,500.4132588224709,0.0019983483298446,0.0039966966596892
25,M,1,672.0425996582782,0.0014880009102227,0.0029760018204454
25,A,0,595.5331344664123,0.0,0.0
26,Outside,121,,,
26,K,7,620.3470150691795,0.0112840069025227,0.0225680138050454
26,G,11,440.4463806991165,0.0249746631645373,0.0499493263290746
26,D,11,616.3836869173489,0.0178460271312712,0.0356920542625424
26,F,12,438.7231945461476,0.0273520984282898,0.0547041968565796
26,E,15,583.1261941650279,0.0257234199905533,0.0514468399811066
26,H,15,628.9629458340296,0.0238487817117897,0.0476975634235794
26,GH,12,844.1888963399747,0.0142148280462188,0.0284296560924376
26,B,3,736.6620803946497,0.0040724235437676,0.0081448470875352
26,IM2,0,464.7433054559947,0.0,0.0
26,J,5,562.7925975599836,0.0088842675288867,0.0177685350577734
26,C,2,637.5788765988797,0.0031368667837128,0.0062737335674256
26,IM1,0,414.08163255867794,0.0,0.0
26,L,1,660.6695710486767,0.0015136159493658,0.0030272318987316
26,N,1,500.4132588224709,0.0019983483298446,0.0039966966596892
26,M,2,672.0425996582782,0.0029760018204455,0.005952003640891
26,A,0,595.5331344664123,0.0,0.0
27,Outside,100,,,
27,K,9,620.3470150691795,0.014508008874672,0.029016017749344
27,G,12,440.4463806991165,0.0272450870885861,0.0544901741771722
27,D,15,616.3836869173489,0.0243354915426425,0.048670983085285
27,F,10,438.7231945461476,0.0227934153569082,0.0455868307138164
27,E,21,583.1261941650279,0.0360127879867747,0.0720255759735494
27,H,15,628.9629458340296,0.0238487817117897,0.0476975634235794
27,GH,9,844.1888963399747,0.0106611210346641,0.0213222420693282
27,B,4,736.6620803946497,0.0054298980583568,0.0108597961167136
27,IM2,2,464.7433054559947,0.0043034509083194,0.0086069018166388
27,J,8,562.7925975599836,0.0142148280462188,0.0284296560924376
27,C,2,637.5788765988797,0.0031368667837128,0.0062737335674256
27,IM1,2,414.08163255867794,0.0048299655013473,0.0096599310026946
27,L,2,660.6695710486767,0.0030272318987317,0.0060544637974634
27,N,1,500.4132588224709,0.0019983483298446,0.0039966966596892
27,M,2,672.0425996582782,0.0029760018204455,0.005952003640891
27,A,0,595.5331344664123,0.0,0.0
28,Outside,118,,,
28,K,6,620.3470150691795,0.009672005916448,0.019344011832896
28,G,11,440.4463806991165,0.0249746631645373,0.0499493263290746
28,D,12,616.3836869173489,0.019468393234114,0.038936786468228
28,F,10,438.7231945461476,0.0227934153569082,0.0455868307138164
28,E,18,583.1261941650279,0.030868103988664,0.061736207977328
28,H,14,628.9629458340296,0.0222588629310037,0.0445177258620074
28,GH,11,844.1888963399747,0.0130302590423672,0.0260605180847344
28,B,3,736.6620803946497,0.0040724235437676,0.0081448470875352
28,IM2,0,464.7433054559947,0.0,0.0
28,J,6,562.7925975599836,0.0106611210346641,0.0213222420693282
28,C,2,637.5788765988797,0.0031368667837128,0.0062737335674256
28,IM1,0,414.08163255867794,0.0,0.0
28,L,6,660.6695710486767,0.0090816956961953,0.0181633913923906
28,N,2,500.4132588224709,0.0039966966596892,0.0079933933193784
